Thumbnails,Title,Quantity,Category,SubCategory,SKU
https://lh3.googleusercontent.com/d/1r_Iqw4b8uhLkckAWSqZJQQX5BAyhEO_G,HAL 1 (Max),1,Simulators,Child,101
https://lh3.googleusercontent.com/d/1QQYqk2_9QgI4T4hypG4LgUZhzxH9GIsk,HAL 1 (Frank),1,Simulators,Child,101
https://lh3.googleusercontent.com/d/1Lni1T2zLqgKkb_7ouUtznDvaHwm3DFvW,HAL 5 (Lefty),1,Simulators,Child,102
https://lh3.googleusercontent.com/d/1qZEDKL3qUInoW8qOod1WhlJfMpzEp_i8,Premie HAL (Peter),1,Simulators,Infant,103
https://lh3.googleusercontent.com/d/1CkDG4P5wRlIHMJPJ0RKxOj1djhLeooXs,Sim Baby (Simone DS),1,Simulators,Infant,104
https://lh3.googleusercontent.com/d/1PU1f0t0BQ0gnZ4uaM8rPEwkEyv272qAP,Sim Baby (LS),1,Simulators,Infant,104
https://lh3.googleusercontent.com/d/1VhQO5Sqx6x97efPTnKcTJkwMcudybiQ5,Sim Baby (MS),1,Simulators,Infant,104
https://lh3.googleusercontent.com/d/1Nc0_jH-dRw_hHbS3yMKcLEggD31TdbVh,Sim Baby Classic (TDB),1,Simulators,Infant,105
https://lh3.googleusercontent.com/d/1iLyPOkvcPVuGLfEOfbnCgMBEdEeq7PfX,Sim Junior (Goldy),1,Simulators,Child,106
https://lh3.googleusercontent.com/d/1CxAet1qU_wqxwG3jgkd_yKpYPV9jhj5Q,Sim Junior (Jackie),1,Simulators,Child,106
https://lh3.googleusercontent.com/d/1scV-2p0cNbCph3pRCPrE_UEtXYRBSOX8,Sim Mom (Leslie),1,Simulators,Adult,108
https://lh3.googleusercontent.com/d/1Hjh5HTxH8vuyGQ_Dlwz3WgTp9YbWBYZy,Sim Mom (Theresa),1,Simulators,Adult,109
https://lh3.googleusercontent.com/d/12uGjdWibYnHaKWhU8EWbzk2xLqu_VaQo,Sim Newbie Classic (Greg),1,Simulators,Infant,110
https://lh3.googleusercontent.com/d/1SFERlFlUeKN5AbeAoUWAIhIX5SZcUVKA,Premature Anne,1,Simulators,Infant,111
